Nombre;Especie;Género;Familia;Orden
;Hipposideros abae;Hipposideros;Hipposideridae;CHIROPTERA
;Microtus abbreviatus;Microtus;Cricetidae;RODENTIA
;Myotis abei;Myotis;Vespertilionidae;CHIROPTERA
Orangután de Sumatra;Pongo abelii;Pongo;Hominidae;PRIMATES
;Sciurus aberti;Sciurus;Sciuridae;RODENTIA
;Petaurus abidi;Petaurus;Petauridae;DIPROTODONTIA
;Apomys abrae;Apomys;Muridae;RODENTIA
Murciélago casero japonés;Pipistrellus abramus;Pipistrellus;Vespertilionidae;CHIROPTERA
;Cynomops abrasus;Cynomops;Molossidae;CHIROPTERA
;Prosciurillus abstrusus;Prosciurillus;Sciuridae;RODENTIA
;Genetta abyssinica;Genetta;Viverridae;CARNIVORA
;Arvicanthis abyssinicus;Arvicanthis;Muridae;RODENTIA
;Callithrix acariensis;Callithrix;Cebidae;PRIMATES
;Gracilinanus aceramarcae;Gracilinanus;Didelphidae;DIDELPHIMORPHIA
;Mormopterus acetabulosus;Mormopterus;Molossidae;CHIROPTERA
;Taphozous achates;Taphozous;Emballonuridae;CHIROPTERA
;Myoprocta acouchy;Myoprocta;Dasyproctidae;RODENTIA
;Kerodon acrobata;Kerodon;Caviidae;RODENTIA
;Pteralopex acrodonta;Pteralopex;Pteropodidae;CHIROPTERA
;Gerbillus acticola;Gerbillus;Muridae;RODENTIA
Equidna de hocico corto;Tachyglossus aculeatus;Tachyglossus;Tachyglossidae;MONOTREMATA
;Rhinolophus acuminatus;Rhinolophus;Rhinolophidae;CHIROPTERA
Rorcual aliblanco;Balaenoptera acutorostrata;Balaenoptera;Balaenopteridae;CETACEA
Delfín de flancos blancos;Lagenorhynchus acutus;Lagenorhynchus;Delphinidae;CETACEA
;Rhinolophus adami;Rhinolophus;Rhinolophidae;CHIROPTERA
;Callosciurus adamsi;Callosciurus;Sciuridae;RODENTIA
;Pipistrellus adamsi;Pipistrellus;Vespertilionidae;CHIROPTERA
;Cephalophus adersi;Cephalophus;Bovidae;ARTIODACTYLA
;Cheirogaleus adipicaudatus;Cheirogaleus;Cheirogaleidae;PRIMATES
;Pteropus admiralitatum;Pteropus;Pteropodidae;CHIROPTERA
;Spermophilus adocetus;Spermophilus;Sciuridae;RODENTIA
;Liomys adspersus;Liomys;Heteromyidae;RODENTIA
Delfín del Indo-Pacífico;Tursiops aduncus;Tursiops;Delphinidae;CETACEA
;Monodelphis adusta;Monodelphis;Didelphidae;DIDELPHIMORPHIA
;Antechinus adustus;Antechinus;Dasyuridae;DASYUROMORPHIA
;Rattus adustus;Rattus;Muridae;RODENTIA
;Tryphomys adustus;Tryphomys;Muridae;RODENTIA
Chacal rayado;Canis adustus;Canis;Canidae;CARNIVORA
;Myotis adversus;Myotis;Vespertilionidae;CHIROPTERA
;Plagiodontia aedium;Plagiodontia;Capromyidae;RODENTIA
;Tadarida aegyptiaca;Tadarida;Molossidae;CHIROPTERA
Murciélago egipcio de la fruta;Rousettus aegyptiacus;Rousettus;Pteropodidae;CHIROPTERA
;Myotis aelleni;Myotis;Vespertilionidae;CHIROPTERA
;Nyctimene aello;Nyctimene;Pteropodidae;CHIROPTERA
;Murina aenea;Murina;Vespertilionidae;CHIROPTERA
;Rhogeessa aeneus;Rhogeessa;Vespertilionidae;CHIROPTERA
;Nycticeius aenobarbus;Nycticeius;Vespertilionidae;CHIROPTERA
;Aethalops aequalis;Aethalops;Pteropodidae;CHIROPTERA
;Pithecia aequatorialis;Pithecia;Pitheciidae;PRIMATES
;Molossops aequatorianus;Molossops;Molossidae;CHIROPTERA
;Suncus aequatorius;Suncus;Soricidae;SORICOMORPHA
;Pipistrellus aero;Pipistrellus;Vespertilionidae;CHIROPTERA
;Phoniscus aerosa;Phoniscus;Vespertilionidae;CHIROPTERA
;Akodon aerosus;Akodon;Cricetidae;RODENTIA
;Melomys aerosus;Melomys;Muridae;RODENTIA
;Sciurus aestuans;Sciurus;Sciuridae;RODENTIA
;Hylomyscus aeta;Hylomyscus;Muridae;RODENTIA
;Paraechinus aethiopicus;Paraechinus;Erinaceidae;ERINACEOMORPHA
;Phacochoerus aethiopicus;Phacochoerus;Suidae;ARTIODACTYLA
Cercopiteco verde;Chlorocebus aethiops;Chlorocebus;Cercopithecidae;PRIMATES
Cerdo hormiguero;Orycteropus afer;Orycteropus;Orycteropodidae;TUBULIDENTATA
;Ratufa affinis;Ratufa;Sciuridae;RODENTIA
;Akodon affinis;Akodon;Cricetidae;RODENTIA
Murciélago mediano de herradura;Rhinolophus affinis;Rhinolophus;Rhinolophidae;CHIROPTERA
;Falsistrellus affinis;Falsistrellus;Vespertilionidae;CHIROPTERA
;Blanfordimys afghanus;Blanfordimys;Cricetidae;RODENTIA
;Gerbilliscus afra;Gerbilliscus;Muridae;RODENTIA
;Coleura afra;Coleura;Emballonuridae;CHIROPTERA
;Hystrix africaeaustralis;Hystrix;Hystricidae;RODENTIA
Elefante;Loxodonta africana;Loxodonta;Elephantidae;PROBOSCIDEA
;Kerivoula africana;Kerivoula;Vespertilionidae;CHIROPTERA
;Mustela africana;Mustela;Mustelidae;CARNIVORA
;Atherurus africanus;Atherurus;Hystricidae;RODENTIA
;Miniopterus africanus;Miniopterus;Vespertilionidae;CHIROPTERA
Facóquero común;Phacochoerus africanus;Phacochoerus;Suidae;ARTIODACTYLA
;Gerbillus agag;Gerbillus;Muridae;RODENTIA
Marmosa grácil ágil;Gracilinanus agilis;Gracilinanus;Didelphidae;DIDELPHIMORPHIA
;Antechinus agilis;Antechinus;Dasyuridae;DASYUROMORPHIA
;Macropus agilis;Macropus;Macropodidae;DIPROTODONTIA
;Cercocebus agilis;Cercocebus;Cercopithecidae;PRIMATES
Gibón ágil;Hylobates agilis;Hylobates;Hylobatidae;PRIMATES
;Dipodomys agilis;Dipodomys;Heteromyidae;RODENTIA
;Kerivoula agnella;Kerivoula;Vespertilionidae;CHIROPTERA
;Apodemus agrarius;Apodemus;Muridae;RODENTIA
Topillo agreste;Microtus agrestis;Microtus;Cricetidae;RODENTIA
;Gracilinanus agricolai;Gracilinanus;Didelphidae;DIDELPHIMORPHIA
;Sus ahoenobarbus;Sus;Suidae;ARTIODACTYLA
;Acomys airensis;Acomys;Muridae;RODENTIA
;Sminthopsis aitkeni;Sminthopsis;Dasyuridae;DASYUROMORPHIA
;Semnopithecus ajax;Semnopithecus;Cercopithecidae;PRIMATES
;Oxymycterus akodontius;Oxymycterus;Cricetidae;RODENTIA
;Ellobius alaicus;Ellobius;Cricetidae;RODENTIA
Bandro;Hapalemur alaotrensis;Hapalemur;Lemuridae;PRIMATES
;Hypsugo alaschanicus;Hypsugo;Vespertilionidae;CHIROPTERA
;Spermophilus alashanicus;Spermophilus;Sciuridae;RODENTIA
;Sorex alaskanus;Sorex;Soricidae;SORICOMORPHA
;Ectophylla alba;Ectophylla;Phyllostomidae;CHIROPTERA
;Pseudochirops albertisii;Pseudochirops;Pseudocheiridae;DIPROTODONTIA
;Callosciurus albescens;Callosciurus;Sciuridae;RODENTIA
;Myotis albescens;Myotis;Vespertilionidae;CHIROPTERA
;Hylobates albibarbis;Hylobates;Hylobatidae;PRIMATES
